meter,date_time,consumption,max_demand,min_demand,avg_demand
1-009,07/20/2019 05:15:00 PM,0.30,1.00,1.00,1.00
1-009,07/20/2019 05:30:00 PM,0.20,1.00,1.00,1.00
1-009,07/20/2019 05:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 06:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 06:15:00 PM,0.30,1.00,1.00,1.00
1-009,07/20/2019 06:30:00 PM,0.20,1.00,1.00,1.00
1-009,07/20/2019 06:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 07:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 07:15:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 07:30:00 PM,0.30,1.00,1.00,1.00
1-009,07/20/2019 07:45:00 PM,0.20,1.00,1.00,1.00
1-009,07/20/2019 08:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 08:15:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 08:30:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 08:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 09:00:00 PM,0.30,1.00,1.00,1.00
1-009,07/20/2019 09:15:00 PM,0.20,1.00,1.00,1.00
1-009,07/20/2019 09:30:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 09:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 10:00:00 PM,0.30,1.00,1.00,1.00
1-009,07/20/2019 10:15:00 PM,0.20,1.00,1.00,1.00
1-009,07/20/2019 10:30:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 10:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 11:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/20/2019 11:15:00 PM,0.30,1.00,1.00,1.00
1-009,07/20/2019 11:30:00 PM,0.20,1.00,1.00,1.00
1-009,07/20/2019 11:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 12:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 12:15:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 12:30:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 12:45:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 01:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 01:15:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 01:30:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 01:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 02:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 02:15:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 02:30:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 02:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 03:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 03:15:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 03:30:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 03:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 04:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 04:15:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 04:30:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 04:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 05:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 05:15:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 05:30:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 05:45:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 06:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 06:15:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 06:30:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 06:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 07:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 07:15:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 07:30:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 07:45:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 08:00:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 08:15:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 08:30:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 08:45:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 09:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 09:15:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 09:30:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 09:45:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 10:00:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 10:15:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 10:30:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 10:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 11:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 11:15:00 AM,0.30,1.00,1.00,1.00
1-009,07/21/2019 11:30:00 AM,0.20,1.00,1.00,1.00
1-009,07/21/2019 11:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/21/2019 12:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 12:15:00 PM,0.30,1.00,1.00,1.00
1-009,07/21/2019 12:30:00 PM,0.20,1.00,1.00,1.00
1-009,07/21/2019 12:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 01:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 01:15:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 01:30:00 PM,0.30,1.00,1.00,1.00
1-009,07/21/2019 01:45:00 PM,0.20,1.00,1.00,1.00
1-009,07/21/2019 02:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 02:15:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 02:30:00 PM,0.30,1.00,1.00,1.00
1-009,07/21/2019 02:45:00 PM,0.20,1.00,1.00,1.00
1-009,07/21/2019 03:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 03:15:00 PM,0.30,1.00,1.00,1.00
1-009,07/21/2019 03:30:00 PM,0.20,1.00,1.00,1.00
1-009,07/21/2019 03:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 04:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 04:15:00 PM,0.30,1.00,1.00,1.00
1-009,07/21/2019 04:30:00 PM,0.20,1.00,1.00,1.00
1-009,07/21/2019 04:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 05:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 05:15:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 05:30:00 PM,0.30,1.00,1.00,1.00
1-009,07/21/2019 05:45:00 PM,0.20,1.00,1.00,1.00
1-009,07/21/2019 06:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 06:15:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 06:30:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 06:45:00 PM,0.30,1.00,1.00,1.00
1-009,07/21/2019 07:00:00 PM,0.20,1.00,1.00,1.00
1-009,07/21/2019 07:15:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 07:30:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 07:45:00 PM,0.30,1.00,1.00,1.00
1-009,07/21/2019 08:00:00 PM,0.20,1.00,1.00,1.00
1-009,07/21/2019 08:15:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 08:30:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 08:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 09:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 09:15:00 PM,0.30,1.00,1.00,1.00
1-009,07/21/2019 09:30:00 PM,0.20,1.00,1.00,1.00
1-009,07/21/2019 09:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 10:00:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 10:15:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 10:30:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 10:45:00 PM,0.30,1.00,1.00,1.00
1-009,07/21/2019 11:00:00 PM,0.20,1.00,1.00,1.00
1-009,07/21/2019 11:15:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 11:30:00 PM,0.20,0.80,0.80,0.80
1-009,07/21/2019 11:45:00 PM,0.20,0.80,0.80,0.80
1-009,07/22/2019 12:00:00 AM,0.30,1.00,1.00,1.00
1-009,07/22/2019 12:15:00 AM,0.20,1.00,1.00,1.00
1-009,07/22/2019 12:30:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 12:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 01:00:00 AM,0.30,1.00,1.00,1.00
1-009,07/22/2019 01:15:00 AM,0.20,1.00,1.00,1.00
1-009,07/22/2019 01:30:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 01:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 02:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 02:15:00 AM,0.30,1.00,1.00,1.00
1-009,07/22/2019 02:30:00 AM,0.20,1.00,1.00,1.00
1-009,07/22/2019 02:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 03:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 03:15:00 AM,0.30,1.00,1.00,1.00
1-009,07/22/2019 03:30:00 AM,0.20,1.00,1.00,1.00
1-009,07/22/2019 03:45:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 04:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 04:15:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 04:30:00 AM,0.30,1.00,1.00,1.00
1-009,07/22/2019 04:45:00 AM,0.20,1.00,1.00,1.00
1-009,07/22/2019 05:00:00 AM,0.20,0.80,0.80,0.80
1-009,07/22/2019 05:15:00 AM,0.20,0.80,0.80,0.80
